,title,dept,procurement_stage,notice_status,contract location,contract_value,publication_year,closing_year,status
423,"GB-Chelmsford: CCC - Extension to 2a Rainsford Lane, Chelmsford		",Chelmsford City Council, Opportunity, Open, East of England,500000.0,2022.0,2022,Closing
424,Framework for the Provision of Support Services for Disabled Children		,London Borough of Hackney, Opportunity, Open, England,,2022.0,2022,Closing
425,Supply of 26x Vans HDG/2022/110		,Stoke-on-Trent City Council, Opportunity, Open, England,,2022.0,2022,Closing
426,"CPU 5337 Maintenance, Repairs and Minor Works for Fire and Intruder Alarms		",Nottingham City Council, Opportunity, Open, East Midlands,,2022.0,2022,Closing
427,The Stage - BREEAM & HQM Assessor		,Luton Council, Opportunity, Open, United Kingdom,75000.0,2022.0,2022,Closing
428,Shell Scheme		,BIRMINGHAM CEREMONIES LIMITED, Opportunity, Open, West Midlands,,2022.0,2022,Closing
429,CPU5293 Hedge Cutting Service		,Nottingham City Council, Opportunity, Open, England,,2022.0,2022,Closing
430,GB-Telford: Queen's Platinum Jubilee Pin Badges		,Telford and Wrekin council, Opportunity, Open, West Midlands,50000.0,2022.0,2022,Closing
431,Expression of Interest - Fair Cost of Care exercise		,Doncaster Council, Opportunity, Open, Yorkshire and the Humber,100000.0,2022.0,2022,Closing
432,Provision of Professional Role Players		,Ministry of Defence, Opportunity, Open, Any region,,2022.0,2022,Closing
433,Request for Information - Provision of Remotely Piloted Air System for LSOC Sites		,Ministry of Defence, Early engagement, Open, BS34 8JH,0.0,2022.0,2022,Closing
434,IRM21/7576 - The Supply of Spares for the Universal Gun Mount and Associated Items - CF		,Ministry of Defence, Opportunity, Open, West Midlands,,2022.0,2022,Closing
435,"MS Azure Backup, Archive and DR Services		",Historic England, Opportunity, Open, SN2 2EH,375000.0,2022.0,2022,Closing
436,SC22121 - Kent Downs AONB Unit Cross-Channel Geopark 'Festival of the Landscape'		,Kent County Council, Opportunity, Open, England,,2022.0,2022,Closing
437,CHIPPERFIELD EXTENSION ROOF REPLACEMENT		,University of Kent, Opportunity, Open, South East,100000.0,2022.0,2022,Closing
438,Armthorpe Academy - Construction Project		,CONSILIUM ACADEMIES, Opportunity, Open, DN3 2DA,,2022.0,2022,Closing
439,Printing Services & Publications		,West Midlands Ambulance Service NHS Foundation Trust, Opportunity, Open, Any region,,2022.0,2022,Closing
440,The receipt and processing of co-mingled dry mixed recycling material		,Torbay Council, Opportunity, Open, England,400000.0,2022.0,2022,Closing
441,Cover for Civic Amenity Site Dry Mixed Recyclables Bay		,Harrow Council, Opportunity, Open, United Kingdom,150000.0,2022.0,2022,Closing
442,Robotic Process Automation		,SLOUGH BOROUGH COUNCIL, Future opportunity, Open, SL1 2EL,,2022.0,2022,Approach
443,Piel Island - Toilet/Shower Block ITT		,Barrow in Furness Borough Council, Opportunity, Open, England,,2022.0,2022,Closing
444,Pipe and Drape for Cast Holding		,BIRMINGHAM CEREMONIES LIMITED, Opportunity, Open, West Midlands,,2022.0,2022,Closing
445,GBC - Commercial Mechanical & Electrical Maintenance and Repairs ITT		,Guildford Borough Council, Opportunity, Open, GU2 4BB,,2022.0,2022,Closing
446,"GB-Watford: Framework Agreement for Asset Refurbishment Works, Fabric and Reactive Maintenance Works		",Watford Borough Council, Opportunity, Open, East of England,5000000.0,2022.0,2022,Closing
447,CA10199 - Water Treatment West Suffolk Hospital		,West Suffolk NHS Foundation Trust, Opportunity, Open, IP33 2QZ,,2022.0,2022,Closing
448,GMCA 475 Data Centre Co Location Facilities		,Greater Manchester Combined Authority, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
449,Early Engagement - Data analysis and consumer insights: assessing barriers and opportunities for the production and consumption of domestic food and organic food		,Defra Network eTendering Portal, Early engagement, Open, Any region,0.0,2022.0,2022,Closing
450,SEND Mandatory Qualifications for Sensory Impairment (MQSI) - Due to go live 12pm 31.03.22		,Department for Education, Opportunity, Open, Any region,,2022.0,2022,Closing
451,Apprenticeship Provider		,Northern Education Trust, Opportunity, Open, Any region,,2022.0,2022,Closing
452,LCC - End Point Assessments		,Lincolnshire County Council, Opportunity, Open, England,,2022.0,2022,Closing
453,"Stairlifts, Hoists and Disabled Adaptations		",EFFICIENCY EAST MIDLANDS LIMITED, Opportunity, Open," North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Wales",,2022.0,2022,Closing
454,"Framework for Attention Deficit Hyperactivity Disorder (ADHD), Autism Spectrum Condition(ASC) Assessment, Prescribing/Post Diagnosis Support for Children, and Young People and Adults		",NHS SOUTH OF ENGLAND PROCUREMENT SERVICES, Opportunity, Open, South East,,2022.0,2022,Closing
455,"3316.EFM.JR.22 - Harper Hills, Buxton - Demolition of Bunker 8088 & 8093		",UNIVERSITY OF SHEFFIELD, Opportunity, Open," Yorkshire and the Humber, East Midlands",,2022.0,2022,Closing
456,Construction Related Multi-Disciplinary Services - Construction Project Management Services		,London Borough of Hammersmith & Fulham, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
457,"UOW850 CCTV Systems - Installation, Consultation, Project Management and Maintenance for the University of Worcester		",University Of Worcester, Opportunity, Open, WR2 6AJ,,2022.0,2022,Closing
458,TSC for Roofing Repairs and Replacements to Housing Properties - Retender (Lotted Contract)		,East Riding of Yorkshire Council, Opportunity, Open, Yorkshire and the Humber,3468000.0,2022.0,2022,Closing
459,Temporary Acoustic Barriers - Timber		,"Eiffage Kier JV HS2 Main Civils Works, Lots C2 & C3", Opportunity, Open, East Midlands,500000.0,2022.0,2022,Closing
460,"GB-London: Spies, Lies and Deception (WT) - 2D and 3D Design Services		",Imperial War Museums, Opportunity, Open, London,100000.0,2022.0,2022,Closing
461,NHS England (East) - Health Needs Assessments for Prisons		,NHS ARDEN AND GREATER EAST MIDLANDS COMMISSIONING SUPPORT UNIT, Opportunity, Open, East of England,38500.0,2022.0,2022,Closing
462,Quality Review Panel and Community Review Panel Project Management Services		,London Legacy Development Corporation, Opportunity, Open, London,,2022.0,2022,Closing
463,Software Development		,MY COAST LIMITED, Opportunity, Open, South West,50000.0,2022.0,2022,Closing
464,London and Quadrant Housing Trust - Fire Engineering and Inspections Dynamic Purchasing System (DPS)		,L&Q Construction, Opportunity, Open, E15 4PH,,2022.0,2032,Closing
465,Remote Handling Emergency Stop System Software Design		,United Kingdom Atomic Energy Authority, Opportunity, Open, South East,250000.0,2022.0,2022,Closing
466,HALA Legal Services Framework		,Optivo, Opportunity, Open, South East,,2022.0,2022,Closing
467,Planned Investment Partnering Contractors South and South London Regions		,Clarion Housing Group Limited, Opportunity, Open, Any region,,2022.0,2022,Closing
468,Domestic Abuse and Outreach Service		,Bracknell Forest Borough Council, Opportunity, Open, RG121JD,,2022.0,2022,Closing
469,Golders Green Creative Placemaking and Cultural Activation Project		,London Borough of Barnet, Opportunity, Open, London,,2022.0,2022,Closing
470,Security External Works - Entrance and Boundary Wall Works		,Lycee Francais Charles de Gaulle, Opportunity, Open, London,,2022.0,2022,Closing
471,Eastend Homes - Managed IT Hosting and Support Service  - Preliminary Market Consultation		,CLARITY PROCUREMENT SOLUTIONS LIMITED, Early engagement, Open, London,0.0,2022.0,2022,Closing
472,Children and Young People's Residential Placements Flexible Procurement System		,Trafford Council, Opportunity, Open, England,,2022.0,2022,Closing
473,Highways Services Contract		,Suffolk County Council, Opportunity, Open, IP1 2BX,,2022.0,2022,Closing
474,Seven Day Dressing Service -  SEL CCG		,N E L COMMISSIONING SUPPORT UNIT, Opportunity, Open, London,,2022.0,2022,Closing
475,Delivery of Bikeability Core and Bikeability Plus Training		,Oldham Council, Opportunity, Open, England,,2022.0,2022,Closing
476,3317.EFM.JR.22 - Alfred Denny Building - F&G Floor AHU Replacement		,UNIVERSITY OF SHEFFIELD, Opportunity, Open, Yorkshire and the Humber,,2022.0,2022,Closing
477,CWC21095 - Supply and Installation of Audio Visual Equipment		,Wolverhampton City Council, Opportunity, Open, England,,2022.0,2022,Closing
478,CA10250 - Kirklees College Water Hygiene Services and Legionella Testing		,Kirklees College, Opportunity, Open, HD1 5NN,,2022.0,2022,Closing
479,21/062 - Fire Door Replacement and Remedial Works		,University of Portsmouth e-Tendering, Opportunity, Open, PO1 2DT,350000.0,2022.0,2022,Closing
480,A438 Whitney on Wye Flood Damage Repair Works		,Herefordshire Council, Opportunity, Open, England,,2022.0,2022,Closing
481,St Helens Borough Council SEND Holiday Activities and Food Programme		,St.Helens Council, Early engagement, Open, England,0.0,2022.0,2022,Closing
482,Mechanical & Electrical Services - Consulting Engineer		,"Royal Botanical Gardens, Kew", Opportunity, Open, United Kingdom,,2022.0,2022,Closing
483,Floating Offshore Wind - Advanced Manufacturing of Substructure Components ORE/22/023		,Offshore Renewable Energy Catapult, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
484,"GB-London: 102749 - 102749 - Review of the 5G Ecosystem, adoption and Industrial Use Cases in Asia		","Department for Digital, Culture, Media and Sport", Opportunity, Open, London,100000.0,2022.0,2022,Closing
485,Universal Healthcare Innovation and Change Labs support NHS/SOEPS/22.847 PINCC		,NHS SOUTH OF ENGLAND PROCUREMENT SERVICES, Opportunity, Open," Yorkshire and the Humber, South East",,2022.0,2022,Closing
486,"GB-London: 102749 - Review of the 5G Ecosystem, adoption and Industrial Use Cases in Asia		","Department for Digital, Culture, Media and Sport", Opportunity, Open, London,100000.0,2022.0,2022,Closing
487,T0488 - ITT - FRAMEWORK AGREEMENT FOR THE SUPPLY OF MOORING COMPONENTS FOR THE GENERAL LIGHTHOUSE AUTHORITIES FOR GREAT BRITAIN		,The Corporation of Trinity House, Opportunity, Open, Any region,,2022.0,2022,Closing
488,"Internal Fit Out and Mezzanine Installation at Unit 3 Tunstall, Trade Park, Brownhills Road, Stoke on Trent - PGP/2022/1390		",Stoke-on-Trent City Council, Opportunity, Open, England,,2022.0,2022,Closing
489,Impact Factor Research		,Liverpool City Council, Opportunity, Open, North West,,2022.0,2022,Closing
490,"Floating Offshore Wind - Coatings, Corrosion Protection and Management - ORE22022		",Offshore Renewable Energy Catapult, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
491,Transport Services Tender Batch 1111		,Lincolnshire County Council, Opportunity, Open, East Midlands,,2022.0,2022,Closing
492,Solar PV Car Port		,Herefordshire Council, Early engagement, Open, West Midlands,0.0,2022.0,2022,Closing
493,GB-Bath: University of Bath Cleveland Court Ventilation Replacement		,University of Bath, Opportunity, Open, South West,500000.0,2022.0,2022,Closing
494,CN-702723458-Provision of a Handler and 2x Explosive Detection Dogs		,Ministry of Defence, Opportunity, Open, South West,,2022.0,2022,Closing
495,WH21011 - Asbestos Removal		,Wolverhampton City Council, Opportunity, Open, England,400000.0,2022.0,2022,Closing
496,GB-Honingham: Design and Install Non-Statutory Building Signage for the Broadland Food Innovation Centre		,Broadland District Council, Opportunity, Open, East of England,25000.0,2022.0,2022,Closing
497,WSSC GM Provision of Delivered in Hot Catering Services for St Wilfrid's Primary School		,West Sussex County Council (CAP), Opportunity, Open, PO19 1RQ,,2022.0,2022,Closing
498,Stairlift maintenance and servicing		,Beyond Housing, Opportunity, Open, YO12 7BH,,2022.0,2022,Closing
499,Scoping Study of a Defence Controlled Dynamic Spectrum Access Concept.		,Ministry of Defence, Opportunity, Open, SN13 9NR,,2022.0,2022,Closing
500,Refurbishment of Grange Park Junior School		,London Borough of Hillingdon, Opportunity, Open, UB4 8SF,,2022.0,2022,Closing
501,Soft Market Test For  Mediation and Disagreement Resolution Services in relation to children and young people with Special Educational Needs and Disabilities (SEND) in Cambridgeshire and Peterborough		,Peterborough City Council, Early engagement, Open, England,0.0,2022.0,2022,Closing
502,"Structural Remediation Works to a Gable End at a Residential Dwelling in Gateshead, Tyne and Wear		",Bernicia Group, Opportunity, Open, England,,2022.0,2022,Closing
503,Vehicle Accident Damage Repair Services		,West Midlands Ambulance Service NHS Foundation Trust, Opportunity, Open, Any region,,2022.0,2022,Closing
504,Northamptonshire Children's Trust Expression of Interest - Commissioning of Accommodation and Specialised Support for Care Leavers who are over 18 years old and Not in Education Employment or Training		,North Northamptonshire Council, Early engagement, Open, East Midlands,0.0,2022.0,2022,Closing
505,LPS CORP - Lancashire County Council - Engineering Inspection Services & Insurance coverage - RFQ  15328673		,Lancashire County Council, Opportunity, Open, North West,,2022.0,2022,Closing
506,ASC0278 - Leicester and Leicestershire Healthwatch Service		,Leicester City Council, Early engagement, Open, United Kingdom,0.0,2022.0,2022,Closing
507,Welfare Support Grant Framework		,Gloucestershire County Council, Opportunity, Open, South West,20000000.0,2022.0,2022,Closing
508,"Framework for the provision of General Repairs, Maintenance Services and Energy Improvement Measures		",London Borough of Waltham Forest, Opportunity, Open, England,,2022.0,2022,Closing
509,Spaceport Cornwall Stand Design & Build Farnborough Airshow 2022		,Spaceport Cornwall (Cornwall Council), Opportunity, Open, TR8 4RZ,,2022.0,2022,Closing
510,YPO - 001100 Supply of Electricity and Ancillary Services		,YPO, Opportunity, Open, United Kingdom,2600000000.0,2022.0,2022,Closing
511,FINCHAMPSTEAD WAR MEMORIAL RELOCATION		,Goodger Design Associates, Opportunity, Open, RG40 4JU,,2022.0,2022,Closing
512,TEC Partnership - Nunsthorpe Loft Insulation		,TEC Partnership, Opportunity, Open, DN34 5BQ,,2022.0,2022,Closing
513,Parks Path Project		,Newport Pagnell Town Council, Opportunity, Open, South East,,2022.0,2022,Closing
514,"Invitation to Tender for the provision of Minor Works Services at Lees House, 21 - 33 Dyke Road, Brighton, East Sussex BN1 3FE - Contract Number CAF335/22		",Cafcass, Opportunity, Open, BN1 3FE,,2022.0,2022,Closing
515,Children's Experiences of Crime Survey		,UNIVERSITY OF SALFORD(THE), Opportunity, Open, M5 4WT,190000.0,2022.0,2022,Closing
516,Summative evaluation of Amazonia exhibition at the Science and Industry Museum		,Science Museum Group, Opportunity, Open, SW7 2DD,,2022.0,2022,Closing
517,NERIC Robotic Equipment		,UNIVERSITY OF SALFORD(THE), Opportunity, Open, M5 4WT,,2022.0,2022,Closing
518,Staffed Outreach Roadshow Bus for NHS Health Checks and CVD prevention		,Medway Council, Opportunity, Open, ME4 4TR,,2022.0,2022,Closing
519,Supply of One Flow Cytometer		,Defra Network eTendering Portal, Future opportunity, Open, KT15 3NB,,2022.0,2022,Approach
520,Kendal Northern Access Road - Technical Support		,Cumbria County Council, Opportunity, Open, England,,2022.0,2022,Closing
521,CA10249 - Cheshire College S&W - Supply of PHEV Training Rigs		,Cheshire College South and West, Opportunity, Open, CH65 7BF,,2022.0,2022,Closing
522,Adlelaide House Parapet Repairs		,Your Homes Newcastle Ltd, Opportunity, Open, North East,,2022.0,2022,Closing
523,NCD 133 - General Legal Services		,New College Durham, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
524,Provision of Benchmarking Performance Against the Learning Disability Improvement Standards for NHS Trusts		,The NHS Commissioning Board (operating under the name of NHS England), Opportunity, Open, LS2 7UE,,2022.0,2022,Closing
525,Electrical Equipment Maintenance and Repair Services		,EU SUPPLY LIMITED, Opportunity, Open, South West,500000.0,2022.0,2022,Closing
526,Norwich Wayfinding - Provision and Installation of Street Totems		,Norfolk County Council, Opportunity, Open, NR1 2DH,,2022.0,2022,Closing
527,Highways Waste		,Sandwell Metropolitan Borough Council, Opportunity, Open, B69 3DB,135000.0,2022.0,2022,Closing
528,Invitation to Tender for the provision of Herefordshire Council Catering Services- Plough Lane Offices-Concession Agreement		,Herefordshire Council, Opportunity, Open, England,2500000.0,2022.0,2022,Closing
529,RA316018 - Kingston Hospital Gynae Modular Building		,South West London Procurement Partnership (SWLPP), Opportunity, Open, SW17 0QT,,2022.0,2022,Closing
530,Refurbishment of Play Equipment		,Rayleigh Town Council, Opportunity, Open, SS6 8jd,,2022.0,2022,Closing
531,Provision of Specialist Methodological Research and Analysis		,Office for National Statistics, Opportunity, Open, NP10 8XG,800000.0,2022.0,2022,Closing
532,Carers Services		,Liverpool City Council, Opportunity, Open, England,,2022.0,2022,Closing
533,CPU4807 Refugee Resettlement Orientation Support Service		,Nottingham City Council, Opportunity, Open, England,,2022.0,2022,Closing
534,Whole Again Communities - Construction of a new building		,WHOLE AGAIN COMMUNITIES COMMUNITY INTEREST COMPANY, Opportunity, Open, TR18 3NZ,,2022.0,2022,Closing
535,"Invitation to Tender for Management of 'Come and Try Activity Arena' at the River Festival, Sports Village 2022		",Bedford Borough Council, Opportunity, Open, MK42 9AP,,2022.0,2022,Closing
536,Coordinator -  Independent Learning Disability Partnership and Norfolk Autism Partnership Board		,Norfolk County Council, Opportunity, Open, NR1 2DH,,2022.0,2022,Closing
537,COV - Bishop Ullathorne School Gymnasium		,Coventry City Council (COV), Opportunity, Open, CV1 2GN,1700000.0,2022.0,2022,Closing
538,PURCON1008 - Laser System		,University of East Aglia, Opportunity, Open, East of England,,2022.0,2022,Closing
539,PURCON1009 - Vacuum Equipment		,University of East Aglia, Opportunity, Open, East of England,,2022.0,2022,Closing
540,"Inspection, Preventative and Remedial Maintenance Service for the National Police Air Service Fuel Farm Installations and Bowsers		",BlueLight Commercial, Opportunity, Open, Any region,350000.0,2022.0,2022,Closing
541,MOT Training		,DVSA - Driver and Vehicle Standards Agency, Opportunity, Open," North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Scotland, Wales",,2022.0,2022,Closing
542,CA10184 - Loreto Sixth Form College College - Security Services		,Loreto College, Opportunity, Open, M15 5PB,,2022.0,2022,Closing
543,Grantee Support Partner (Innovation)		,National Heritage Memorial Fund, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
544,Kingston Square Gardens Resurfacing		,Hull City Council, Opportunity, Open, Yorkshire and the Humber,47000.0,2022.0,2022,Closing
545,1755 - Crystal Imaging Microscope		,The University of Nottingham, Opportunity, Open, NG7 2RN,30000.0,2022.0,2022,Closing
546,"CP2223-02 - Loft, Cold Water Tank and Pipework Insulation and Roof Ventilation		",Castle Point Borough Council, Opportunity, Open, England,,2022.0,2022,Closing
547,GB-T21/0077: Colocation datacentre		,Northumbria University at Newcastle, Opportunity, Open, North East,500000.0,2022.0,2022,Closing
548,University of Winchester - Coach Hire		,UNIVERSITY OF WINCHESTER, Opportunity, Open, SO22 4NR,,2022.0,2022,Closing
549,UKRI-1947 MRC Zero Carbon Feasibility Study		,UK Research and Innovation, Opportunity, Open, Any region,,2022.0,2022,Closing
550,Optivo Office Cleaning and Related Services		,Optivo, Opportunity, Open," West Midlands, South East",,2022.0,2022,Closing
551,T1-6193-OHA-Waste Removal Contract		,Orwell Housing Association Limited, Opportunity, Open, East of England,,2022.0,2022,Closing
552,Framework for the Provision of Digital Advertising Services		,University of Exeter, Opportunity, Open, South West,12000000.0,2022.0,2022,Closing
553,Evaluation partner for CYA diabetes transition pilots		,NHS England, Early engagement, Open, LS2 7UE,0.0,2022.0,2022,Closing
554,MGPS AE Tender		,NHS South West - Acutes, Opportunity, Open, BS1 3NU,70000.0,2022.0,2022,Closing
555,Construction Related Multi-Disciplinary Services - Construction Project Management Services		,Thurrock Council, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
556,REFURBISHMENT OF TOILETS AND KITCHEN AND PROVISION OF CHANGING PLACES TOILET AND CAFÉ KITCHEN AT BRAUNSTONE CIVIC CENTRE		,BRAUNSTONE TOWN COUNCIL, Opportunity, Open, LE3 2PP,,2022.0,2022,Closing
557,Servicing & Maintenance Services for Microbiological Safety Cabinets & Local Exhaust Ventilation Systems		,Defra Network eTendering Portal, Future opportunity, Open, KT15 3NB,,2022.0,2022,Approach
558,Construction Related Multi-Disciplinary Services - Architectural Construction Engineering Services		,Thurrock Council, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
559,Provision of Insurance and related services to Curo Group		,Curo Group, Opportunity, Open, Any region,,2022.0,2022,Closing
560,ETE073 Geotechnical Works		,Derbyshire County Council, Opportunity, Open, England,,2022.0,2022,Closing
561,Purchase of Standard and Specialist Vehicles		,Crown Commercial Service, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
562,Rewire of Registry Building (1)		,University of Kent, Opportunity, Open, South East,470000.0,2022.0,2022,Closing
563,Sterilisation Solutions		,University Hospitals of North Midlands NHS Trust, Opportunity, Open, ST4 6QG,33000.0,2022.0,2022,Closing
564,Construction Related Multi-Disciplinary Services - Architectural and related services		,Thurrock Council, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
565,Fire Services - Fire engineering consultant services		,Thurrock Council, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
566,WCC - All Age Carers Wellbeing and Support Service		,Warwickshire County Council (WCC), Opportunity, Open, CV34 4RL,6200000.0,2022.0,2022,Closing
567,Recruitment & Research Qualitative Services		,Care Quality Commission, Opportunity, Open, NE1 4PA,,2022.0,2022,Closing
568,Recruitment & Research Quantitative Services		,Care Quality Commission, Opportunity, Open, NE1 4PA,,2022.0,2022,Closing
569,"The Supply, Delivery, Erection, Maintenance and Repair of Fencing and Gating		",London Borough of Hillingdon, Opportunity, Open, UB8 1UW,,2022.0,2022,Closing
570,Leadership Development Programme		,Bernicia Group, Opportunity, Open, England,,2022.0,2022,Closing
571,Plant Information System and Associated Services		,United Kingdom Atomic Energy Authority, Opportunity, Open, Any region,6600000.0,2022.0,2022,Closing
572,Arts Council England's Environmental Responsibility Programme 23+		,The Arts Council of England, Opportunity, Open, Any region,,2022.0,2022,Closing
573,Supply Chain Notice - Structural Works to properties in FDIS RAMS Central (East Mids & North) Region		,Ministry of Defence, Future opportunity, Open, PE28 2EA,,2022.0,2022,Approach
574,GB-London: The National Portrait Gallery Showcase Contract Tender		,National Portrait Gallery, Opportunity, Open, London,1000000.0,2022.0,2022,Closing
575,Dermatology Services (Kent & Medway) - Market Engagement		,NHS ARDEN AND GREATER EAST MIDLANDS, Early engagement, Open, South East,0.0,2022.0,2022,Closing
576,"UK_GE_2022_Design and construction of office interior on 9th floor, Exchange Tower, Edinburgh		",British Council, Opportunity, Open, E20 1JQ,,2022.0,2022,Closing
577,GB-London: Security Patrols in London SE27		,Metropolitan, Opportunity, Open, London,25000.0,2022.0,2022,Closing
578,Tender for the Supply and Installation of Magnetic Alignment Presses (1 Axial and 1 Transverse)		,UNIVERSITY OF BIRMINGHAM, Opportunity, Open, B15 2TT,,2022.0,2022,Closing
579,Research to inform a Good Food Economy Plan in Barking and Dagenham		,London Borough Of Barking And Dagenham, Opportunity, Open," London, South East",,2022.0,2022,Closing
580,Supply Chain Notice -  Refurbishment Works to properties in FDIS RAMS across the Central Region		,Ministry of Defence, Future opportunity, Open, PE28 2EA,,2022.0,2022,Approach
581,GB-Telford: Sculpture Commission		,BIP SOLUTIONS LIMITED, Opportunity, Open, West Midlands,25000.0,2022.0,2022,Closing
582,Portable Visual Inspection Device		,Home Office, Early engagement, Open, Any region,0.0,2022.0,2022,Closing
583,NNC- Leisure Management Service		,North Northamptonshire Council, Opportunity, Open, NN16 8TL,,2022.0,2022,Closing
584,Supply Chain Notice-Door and Window Replacements across FDIS RAMS Central - West		,Ministry of Defence, Future opportunity, Open, PE28 2EA,,2022.0,2022,Approach
585,1729 / ITT / SC Framework Agreement - Biochar as a Soil Amendment		,The University of Nottingham, Opportunity, Open, NG7 2RN,200000.0,2022.0,2022,Closing
586,Asbestos - Asbestos miscellaneous (20% VAT)		,London Borough of Haringey, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
587,CA10197 - Tyne Coast Academy Trust - Broadband Connectivity Services		,Tyne Coast Academy Trust, Opportunity, Open, NE34 6ET,,2022.0,2022,Closing
588,Play Are Refurbishment - Tonedale		,WELLINGTON TOWN COUNCIL, Opportunity, Open, TA21 0BD,85000.0,2022.0,2022,Closing
589,Tender for the Supply and Installation of a Sintering System for the Production of Ndfeb Magnets		,UNIVERSITY OF BIRMINGHAM, Opportunity, Open, B15 2TT,,2022.0,2022,Closing
590,The Provision of Public and Private Road Markings		,Salford City Council, Opportunity, Open, England,,2022.0,2022,Closing
591,Transformation Phase II ME		,Intellectual Property Office, Early engagement, Open, NP10 8QQ,0.0,2022.0,2022,Closing
592,ASC0281 - Soft Market Testing - Participation Service		,Leicester City Council, Early engagement, Open, East Midlands,0.0,2022.0,2022,Closing
593,IA2682 Interpretation Design Scheme for the Staffordshire History Centre		,Staffordshire County Council, Opportunity, Open, ST16 2DH,,2022.0,2022,Closing
594,Construction Related Multi-Disciplinary Services - Construction Project Management Services		,Thurrock Council, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
595,Construction Related Multi-Disciplinary Services - Construction Project Management Services		,Thurrock Council, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
596,Construction Related Multi-Disciplinary Services - Architectural and related services		,Thurrock Council, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
597,ESPH TW RDC Specialist Housing Advice (ESPH521 JB)		,Rother District Council, Opportunity, Open, TN39 3JX,,2022.0,2022,Closing
598,Events Stewarding and Security		,Leeds City Council, Opportunity, Open, LS1 3DL,3000000.0,2022.0,2022,Closing
599,3303.EFM.22 Western Bank Library M&E Replacement		,UNIVERSITY OF SHEFFIELD, Opportunity, Open, Yorkshire and the Humber,,2022.0,2022,Closing
600,"Enhanced Care Support and Enablement Services within a Highly Bespoke Environment in Mansfield, Nottinghamshire		",Nottinghamshire County Council, Opportunity, Open, East Midlands,12000000.0,2022.0,2022,Closing
601,"Block Management Services for a West Suffolk Council property at 17-18 Cornhill, Bury St Edmunds		",West Suffolk Council, Opportunity, Open, IP33 3YU,50000.0,2022.0,2022,Closing
602,COV - Quotation for the supply of services to provide business support activities to creative businesses and freelancers in Coventry		,Coventry City Council (COV), Opportunity, Open, CV1 2GN,50000.0,2022.0,2022,Closing
603,Seaside Illuminations for Skegness and Mablethorpe		,East Lindsey District Council, Opportunity, Open, East Midlands,,2022.0,2022,Closing
604,Capital Roofing Works - SCAFFOLDING		,Bury Council, Opportunity, Open, North West,,2022.0,2022,Closing
605,Renewable Energy study and report		,Wiltshire Council, Opportunity, Open, England,,2022.0,2022,Closing
606,Refurbishment of Clinical Skills 2 Laboratory in Worsley Building (Dentistry)		,University of Leeds, Opportunity, Open, Yorkshire and the Humber,,2022.0,2022,Closing
607,M2223-07 - Acquisitions		,Southend-on-Sea Borough Council, Opportunity, Open, England,,2022.0,2022,Closing
608,CA10238 - Star Academies Security Alarms & CCTV Maintenance Framework		,Star Academies, Opportunity, Open, BB1 2HT,,2022.0,2022,Closing
609,702421455 - ACDECA/017 In-Service Support for Ultrasonic NDT Equipment VTN		,Ministry of Defence, Opportunity, Open, Any region,,2022.0,2022,Closing
610,Compositional Analysis of Selected Food Products		,Defra Network eTendering Portal, Opportunity, Open, Any region,,2022.0,2022,Closing
611,People's Voice Service including Healthwatch Kent		,Kent County Council, Opportunity, Open, England,,2022.0,2022,Closing
612,Christmas Light Contractor		,HOOK PARISH COUNCIL, Opportunity, Open, RG27 9NN,,2022.0,2022,Closing
613,"Market Engagement - Gas Service Repairs, Maintenance & Installation Framework		",Home Group, Early engagement, Open, North East,0.0,2022.0,2022,Closing
614,OPIL FIRE SUPPRESSION SYSTEMS		,Sheffield City Council, Opportunity, Open, Yorkshire and the Humber,630001.0,2022.0,2022,Closing
615,SPS 2559 - Rough Sleeper Pathway		,Royal Borough of Greenwich, Opportunity, Open, England,,2022.0,2022,Closing
616,Construction Related Multi-Disciplinary Services - Construction Project Management Services		,Thurrock Council, Opportunity, Open, United Kingdom,,2022.0,2022,Closing
617,The Business in Maidstone Website		,Maidstone Borough Council, Opportunity, Open, England,,2022.0,2022,Closing
618,Launceston Town Council - Request for Quotation		,Launceston Town Hall, Opportunity, Open, PL15 8QA,,2022.0,2022,Closing
619,Mineral Consultancy Framework		,"Forestry Commission, acting through Forestry England (hereinafter referred to as Forestry England)", Opportunity, Open, Any region,,2022.0,2022,Closing
